"","Edu2F","LabRatio","LifeExpectancy","EYE","GNI","MaternalMortality","Adolescent.Birth.Rate","Parliament"
"Zimbabwe",48.7,0.927536231884058,57.5,10.9,"1,615",470,60.3,35.1
"Mauritania",8.3,0.36283185840708,63.1,8.5,"3,560",320,73.3,22.2
"Papua New Guinea",7.6,0.952702702702703,62.6,9.9,"2,463",220,62.1,2.7
"Yemen",8.6,0.35180055401662,63.8,9.2,"3,519",270,47,0.7
"Lesotho",21.9,0.802721088435374,49.8,11.1,"3,306",490,89.4,26.8
"Togo",16.1,0.991389913899139,59.7,12.2,"1,228",450,91.5,17.6
"Haiti",22.4,0.857746478873239,62.8,8.7,"1,669",380,42,3.5
"Rwanda",8,1.01289566236811,64.2,10.3,"1,458",320,33.6,57.5
"Uganda",22.9,0.957070707070707,58.5,9.8,"1,613",360,126.6,35
"Benin",11.3,0.863346104725415,59.6,11.1,"1,767",340,90.2,8.4
"Sudan",12.1,0.411842105263158,63.5,7,"3,809",360,84,23.8
"Senegal",7.2,0.75,66.5,7.9,"2,188",320,94.4,42.7
"Afghanistan",5.9,0.19874213836478,60.4,9.3,"1,885",400,86.8,27.6
"Côte d'Ivoire",14,0.643734643734644,51.5,8.9,"3,171",720,130.3,9.2
"Malawi",11.1,1.03803680981595,62.8,10.8,"747",510,144.8,16.7
"Ethiopia",7.8,0.875699888017917,64.1,8.5,"1,428",420,78.4,25.5
"Gambia",17.4,0.870928829915561,60.2,8.8,"1,507",430,115.8,9.4
"Congo (Democratic Republic of the)",12.8,0.965846994535519,58.7,9.8,"680",730,135.3,8.2
"Liberia",15.4,0.898148148148148,60.9,9.5,"805",640,117.4,10.7
"Mali",7.7,0.624078624078624,58,8.4,"1,583",550,175.6,9.5
"Mozambique",1.4,1.03260869565217,55.1,9.3,"1,123",480,137.8,39.6
"Sierra Leone",10,0.952173913043478,50.9,8.6,"1,780",1100,100.7,12.4
"Burkina Faso",0.9,0.856666666666667,58.7,7.8,"1,591",400,115.4,13.3
"Burundi",5.3,1.01585365853659,56.7,10.1,"758",740,30.3,34.9
"Chad",1.7,0.808080808080808,51.6,7.4,"2,085",980,152,14.9
"Central African Republic",10.1,0.853113983548766,50.7,7.2,"581",880,98.3,12.5
"Niger",2.4,0.445930880713489,61.4,5.4,"908",630,204.8,13.3
